1765908736.348951 server started (26601): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1765908736.348989 on Linux 6.17.9-arch1-1 #1 SMP PREEMPT_DYNAMIC Mon, 24 Nov 2025 15:21:09 +0000
1765908736.348999 using libevent 2.1.12-stable poll
1765908736.349003 using ncurses 6.5 20240427
1765908736.350233 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1765908736.350237 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1765908736.350241 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1765908736.350245 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1765908736.350249 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1765908736.350253 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1765908736.350257 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1765908736.350261 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1765908736.350265 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1765908736.350268 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1765908736.350272 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1765908736.350276 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1765908736.350287 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1765908736.350291 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1765908736.350295 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1765908736.350300 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1765908736.350304 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1765908736.350308 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1765908736.350312 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1765908736.350316 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1765908736.350320 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1765908736.350323 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1765908736.350327 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1765908736.350331 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1765908736.350335 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1765908736.350338 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1765908736.350342 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1765908736.350346 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1765908736.350350 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1765908736.350354 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1765908736.350357 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1765908736.350361 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1765908736.350365 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1765908736.350369 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1765908736.350373 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1765908736.350376 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1765908736.350380 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1765908736.350384 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1765908736.350388 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1765908736.350392 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1765908736.350396 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1765908736.350400 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1765908736.350403 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1765908736.350407 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1765908736.350411 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1765908736.350632 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1765908736.350638 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1765908736.350642 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1765908736.350646 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1765908736.350649 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1765908736.350653 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1765908736.350657 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1765908736.350661 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1765908736.350665 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1765908736.350669 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1765908736.350673 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1765908736.350680 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1765908736.350684 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1765908736.350688 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1765908736.350746 yylex_token: end at WS
1765908736.350750 yylex_token: bind
1765908736.350755 yylex_token: end at WS
1765908736.350758 yylex_token: -N
1765908736.350763 yylex_token: end at WS
1765908736.350766 yylex_token: Send the prefix key
1765908736.350770 yylex_token: end at WS
1765908736.350773 yylex_token: C-b
1765908736.350777 yylex_token: end at WS
1765908736.350780 yylex_token: send-prefix
1765908736.350787 cmd_parse_build_commands 0:0: bind
1765908736.350796 cmd_parse_build_commands 0:1: -N
1765908736.350800 cmd_parse_build_commands 0:2: Send the prefix key
1765908736.350804 cmd_parse_build_commands 0:3: C-b
1765908736.350813 cmd_parse_build_commands 0:4 0:0: send-prefix
1765908736.350824 cmd_parse_build_commands 0:0: send-prefix
1765908736.350843 args_parse: flags end at 1 of 1
1765908736.350848 cmd_parse_build_commands: send-prefix
1765908736.350852 args_parse_flags: next -N
1765908736.350857 args_parse_flag_argument: -N = Send the prefix key
1765908736.350860 args_parse_flags: next C-b
1765908736.350864 args_parse: flags end at 3 of 5
1765908736.350868 args_parse: 3 = C-b (type STRING)
1765908736.350872 args_parse: 4 = send-prefix (type COMMANDS)
1765908736.350885 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1765908736.350891 cmdq_get_command: [bind-key/0x55cc6f792890] group 6
1765908736.350895 cmdq_append <global>: [bind-key/0x55cc6f792890]
1765908736.350899 yylex_token: end at WS
1765908736.350902 yylex_token: bind
1765908736.350905 yylex_token: end at WS
1765908736.350908 yylex_token: -N
1765908736.350913 yylex_token: end at WS
1765908736.350917 yylex_token: Rotate through the panes
1765908736.350920 yylex_token: end at WS
1765908736.350923 yylex_token: C-o
1765908736.350927 yylex_token: end at WS
1765908736.350930 yylex_token: rotate-window
1765908736.350935 cmd_parse_build_commands 0:0: bind
1765908736.350939 cmd_parse_build_commands 0:1: -N
1765908736.350942 cmd_parse_build_commands 0:2: Rotate through the panes
1765908736.350946 cmd_parse_build_commands 0:3: C-o
1765908736.350950 cmd_parse_build_commands 0:4 0:0: rotate-window
1765908736.350955 cmd_parse_build_commands 0:0: rotate-window
1765908736.350961 args_parse: flags end at 1 of 1
1765908736.350965 cmd_parse_build_commands: rotate-window
1765908736.350969 args_parse_flags: next -N
1765908736.350973 args_parse_flag_argument: -N = Rotate through the panes
1765908736.350976 args_parse_flags: next C-o
1765908736.350979 args_parse: flags end at 3 of 5
1765908736.350983 args_parse: 3 = C-o (type STRING)
1765908736.350987 args_parse: 4 = rotate-window (type COMMANDS)
1765908736.350997 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1765908736.351003 cmdq_get_command: [bind-key/0x55cc6f793410] group 14
1765908736.351006 cmdq_append <global>: [bind-key/0x55cc6f793410]
1765908736.351010 yylex_token: end at WS
1765908736.351013 yylex_token: bind
1765908736.351017 yylex_token: end at WS
1765908736.351020 yylex_token: -N
1765908736.351024 yylex_token: end at WS
1765908736.351028 yylex_token: Suspend the current client
1765908736.351031 yylex_token: end at WS
1765908736.351034 yylex_token: C-z
1765908736.351038 yylex_token: end at WS
1765908736.351041 yylex_token: suspend-client
1765908736.351045 cmd_parse_build_commands 0:0: bind
1765908736.351049 cmd_parse_build_commands 0:1: -N
1765908736.351052 cmd_parse_build_commands 0:2: Suspend the current client
1765908736.351056 cmd_parse_build_commands 0:3: C-z
1765908736.351060 cmd_parse_build_commands 0:4 0:0: suspend-client
1765908736.351064 cmd_parse_build_commands 0:0: suspend-client
1765908736.351071 args_parse: flags end at 1 of 1
1765908736.351075 cmd_parse_build_commands: suspend-client
1765908736.351078 args_parse_flags: next -N
1765908736.351082 args_parse_flag_argument: -N = Suspend the current client
1765908736.351085 args_parse_flags: next C-z
1765908736.351088 args_parse: flags end at 3 of 5
1765908736.351092 args_parse: 3 = C-z (type STRING)
1765908736.351096 args_parse: 4 = suspend-client (type COMMANDS)
1765908736.351108 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1765908736.351114 cmdq_get_command: [bind-key/0x55cc6f792550] group 22
1765908736.351117 cmdq_append <global>: [bind-key/0x55cc6f792550]
1765908736.351121 yylex_token: end at WS
1765908736.351124 yylex_token: bind
1765908736.351127 yylex_token: end at WS
1765908736.351130 yylex_token: -N
1765908736.351134 yylex_token: end at WS
1765908736.351156 yylex_token: Select next layout
1765908736.351164 yylex_token: end at WS
1765908736.351167 yylex_token: Space
1765908736.351170 yylex_token: end at WS
1765908736.351174 yylex_token: next-layout
1765908736.351178 cmd_parse_build_commands 0:0: bind
1765908736.351182 cmd_parse_build_commands 0:1: -N
1765908736.351185 cmd_parse_build_commands 0:2: Select next layout
1765908736.351189 cmd_parse_build_commands 0:3: Space
1765908736.351193 cmd_parse_build_commands 0:4 0:0: next-layout
1765908736.351199 cmd_parse_build_commands 0:0: next-layout
1765908736.351204 args_parse: flags end at 1 of 1
1765908736.351208 cmd_parse_build_commands: next-layout
1765908736.351212 args_parse_flags: next -N
1765908736.351216 args_parse_flag_argument: -N = Select next layout
1765908736.351219 args_parse_flags: next Space
1765908736.351222 args_parse: flags end at 3 of 5
1765908736.351226 args_parse: 3 = Space (type STRING)
1765908736.351230 args_parse: 4 = next-layout (type COMMANDS)
1765908736.351239 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1765908736.351246 cmdq_get_command: [bind-key/0x55cc6f793ef0] group 30
1765908736.351250 cmdq_append <global>: [bind-key/0x55cc6f793ef0]
1765908736.351254 yylex_token: end at WS
1765908736.351257 yylex_token: bind
1765908736.351260 yylex_token: end at WS
1765908736.351263 yylex_token: -N
1765908736.351267 yylex_token: end at WS
1765908736.351271 yylex_token: Break pane to a new window
1765908736.351274 yylex_token: end at WS
1765908736.351277 yylex_token: !
1765908736.351281 yylex_token: end at WS
1765908736.351284 yylex_token: break-pane
1765908736.351288 cmd_parse_build_commands 0:0: bind
1765908736.351291 cmd_parse_build_commands 0:1: -N
1765908736.351295 cmd_parse_build_commands 0:2: Break pane to a new window
1765908736.351298 cmd_parse_build_commands 0:3: !
1765908736.351302 cmd_parse_build_commands 0:4 0:0: break-pane
1765908736.351307 cmd_parse_build_commands 0:0: break-pane
1765908736.351311 args_parse: flags end at 1 of 1
1765908736.351315 cmd_parse_build_commands: break-pane
1765908736.351318 args_parse_flags: next -N
1765908736.351342 args_parse_flag_argument: -N = Break pane to a new window
1765908736.351346 args_parse_flags: next !
1765908736.351350 args_parse: flags end at 3 of 5
1765908736.351353 args_parse: 3 = ! (type STRING)
1765908736.351358 args_parse: 4 = break-pane (type COMMANDS)
1765908736.351368 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1765908736.351373 cmdq_get_command: [bind-key/0x55cc6f7940a0] group 38
1765908736.351377 cmdq_append <global>: [bind-key/0x55cc6f7940a0]
1765908736.351381 yylex_token: end at WS
1765908736.351384 yylex_token: bind
1765908736.351387 yylex_token: end at WS
1765908736.351390 yylex_token: -N
1765908736.351394 yylex_token: end at WS
1765908736.351397 yylex_token: Split window vertically
1765908736.351401 yylex_token: end at WS
1765908736.351404 yylex_token: "
1765908736.351408 yylex_token: end at WS
1765908736.351411 yylex_token: split-window
1765908736.351415 cmd_parse_build_commands 0:0: bind
1765908736.351418 cmd_parse_build_commands 0:1: -N
1765908736.351422 cmd_parse_build_commands 0:2: Split window vertically
1765908736.351425 cmd_parse_build_commands 0:3: "
1765908736.351430 cmd_parse_build_commands 0:4 0:0: split-window
1765908736.351435 cmd_parse_build_commands 0:0: split-window
1765908736.351443 args_parse: flags end at 1 of 1
1765908736.351448 cmd_parse_build_commands: split-window
1765908736.351451 args_parse_flags: next -N
1765908736.351456 args_parse_flag_argument: -N = Split window vertically
1765908736.351459 args_parse_flags: next "
1765908736.351462 args_parse: flags end at 3 of 5
1765908736.351466 args_parse: 3 = " (type STRING)
1765908736.351471 args_parse: 4 = split-window (type COMMANDS)
1765908736.351480 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1765908736.351486 cmdq_get_command: [bind-key/0x55cc6f7945c0] group 46
1765908736.351489 cmdq_append <global>: [bind-key/0x55cc6f7945c0]
1765908736.351493 yylex_token: end at WS
1765908736.351500 yylex_token: bind
1765908736.351504 yylex_token: end at WS
1765908736.351507 yylex_token: -N
1765908736.351511 yylex_token: end at WS
1765908736.351515 yylex_token: List all paste buffers
1765908736.351518 yylex_token: end at WS
1765908736.351521 yylex_token: #
1765908736.351525 yylex_token: end at WS
1765908736.351528 yylex_token: list-buffers
1765908736.351532 cmd_parse_build_commands 0:0: bind
1765908736.351535 cmd_parse_build_commands 0:1: -N
1765908736.351539 cmd_parse_build_commands 0:2: List all paste buffers
1765908736.351542 cmd_parse_build_commands 0:3: #
1765908736.351546 cmd_parse_build_commands 0:4 0:0: list-buffers
1765908736.351551 cmd_parse_build_commands 0:0: list-buffers
1765908736.351557 args_parse: flags end at 1 of 1
1765908736.351561 cmd_parse_build_commands: list-buffers
1765908736.351564 args_parse_flags: next -N
1765908736.351569 args_parse_flag_argument: -N = List all paste buffers
1765908736.351572 args_parse_flags: next #
1765908736.351576 args_parse: flags end at 3 of 5
1765908736.351579 args_parse: 3 = # (type STRING)
1765908736.351584 args_parse: 4 = list-buffers (type COMMANDS)
1765908736.351592 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1765908736.351598 cmdq_get_command: [bind-key/0x55cc6f794910] group 54
1765908736.351601 cmdq_append <global>: [bind-key/0x55cc6f794910]
1765908736.351605 yylex_token: end at WS
1765908736.351608 yylex_token: bind
1765908736.351611 yylex_token: end at WS
1765908736.351614 yylex_token: -N
1765908736.351619 yylex_token: end at WS
1765908736.351622 yylex_token: Rename current session
1765908736.351625 yylex_token: end at WS
1765908736.351628 yylex_token: $
1765908736.351632 yylex_token: end at WS
1765908736.351635 yylex_token: command-prompt
1765908736.351638 yylex_token: end at WS
1765908736.351641 yylex_token: -I#S
1765908736.351645 yylex_token: end at WS
1765908736.351648 yylex_token: rename-session
1765908736.351651 yylex_token: end at WS
1765908736.351654 yylex_token: --
1765908736.351657 yylex_token: end at WS
1765908736.351660 yylex_token: %%
1765908736.351665 cmd_parse_build_commands 0:0: bind
